StartTime,ServiceTime,RequestID,RequestFile,CPU,Memory
17:53:08,0:00:00.000195,Unknown,big_buck_bunny/big_buck_bunny_dashinit.mp4,5.3,33.7
17:53:08,0:00:00.000217,Unknown,big_buck_bunny/big_buck_bunny_dash1.m4s,15.8,34.1
17:53:15,0:00:00.000249,Unknown,big_buck_bunny/big_buck_bunny_dash2.m4s,38.1,34.1
17:53:31,0:00:00.000338,Unknown,big_buck_bunny/big_buck_bunny_dash3.m4s,5.3,34.2
17:53:40,0:00:00.000087,Unknown,big_buck_bunny/big_buck_bunny_dash4.m4s,26.3,34.3
17:53:50,0:00:00.000087,Unknown,big_buck_bunny/big_buck_bunny_dash5.m4s,5.3,34.2
17:53:58,0:00:00.000171,Unknown,big_buck_bunny/big_buck_bunny_dash6.m4s,10.0,34.2
17:54:06,0:00:00.000086,Unknown,big_buck_bunny/big_buck_bunny_dash7.m4s,5.0,34.2
17:54:14,0:00:00.000054,Unknown,big_buck_bunny/big_buck_bunny_dash8.m4s,5.3,34.2
17:54:23,0:00:00.000054,Unknown,big_buck_bunny/big_buck_bunny_dash9.m4s,0.0,34.2
17:54:32,0:00:00.000054,Unknown,big_buck_bunny/big_buck_bunny_dash10.m4s,5.0,34.2
17:54:40,0:00:00.000241,Unknown,big_buck_bunny/big_buck_bunny_dash11.m4s,5.3,34.2
17:54:48,0:00:00.000071,Unknown,big_buck_bunny/big_buck_bunny_dash12.m4s,0.0,34.2
17:54:58,0:00:00.000084,Unknown,big_buck_bunny/big_buck_bunny_dash13.m4s,19.0,34.2
17:55:06,0:00:00.000054,Unknown,big_buck_bunny/big_buck_bunny_dash14.m4s,10.0,34.2
17:55:16,0:00:00.000224,Unknown,big_buck_bunny/big_buck_bunny_dash15.m4s,14.3,34.2
17:55:25,0:00:00.000152,Unknown,big_buck_bunny/big_buck_bunny_dash16.m4s,14.3,34.2
17:55:34,0:00:00.000244,Unknown,big_buck_bunny/big_buck_bunny_dash17.m4s,5.3,34.2
17:55:42,0:00:00.000072,Unknown,big_buck_bunny/big_buck_bunny_dash18.m4s,15.0,34.2
17:55:52,0:00:00.000057,Unknown,big_buck_bunny/big_buck_bunny_dash19.m4s,0.0,34.2
17:56:00,0:00:00.000113,Unknown,big_buck_bunny/big_buck_bunny_dash20.m4s,10.0,33.3
17:56:09,0:00:00.000228,Unknown,big_buck_bunny/big_buck_bunny_dash21.m4s,19.0,33.3
17:56:19,0:00:00.000102,Unknown,big_buck_bunny/big_buck_bunny_dash22.m4s,40.0,33.9
17:56:27,0:00:00.000223,Unknown,big_buck_bunny/big_buck_bunny_dash23.m4s,10.5,33.2
17:56:36,0:00:00.000270,Unknown,big_buck_bunny/big_buck_bunny_dash24.m4s,14.3,33.2
17:56:46,0:00:00.000261,Unknown,big_buck_bunny/big_buck_bunny_dash25.m4s,10.0,33.2
17:56:56,0:00:00.000095,Unknown,big_buck_bunny/big_buck_bunny_dash26.m4s,19.0,33.2
17:57:04,0:00:00.000240,Unknown,big_buck_bunny/big_buck_bunny_dash27.m4s,14.3,33.3
17:57:12,0:00:00.000180,Unknown,big_buck_bunny/big_buck_bunny_dash28.m4s,14.3,33.2
17:57:21,0:00:00.000093,Unknown,big_buck_bunny/big_buck_bunny_dash29.m4s,10.5,33.2
17:57:31,0:00:00.000227,Unknown,big_buck_bunny/big_buck_bunny_dash30.m4s,15.0,33.2
17:57:40,0:00:00.000230,Unknown,big_buck_bunny/big_buck_bunny_dash31.m4s,5.6,33.2
17:57:49,0:00:00.000224,Unknown,big_buck_bunny/big_buck_bunny_dash32.m4s,10.5,33.2
17:57:59,0:00:00.000247,Unknown,big_buck_bunny/big_buck_bunny_dash33.m4s,5.6,33.2
17:58:08,0:00:00.000231,Unknown,big_buck_bunny/big_buck_bunny_dash34.m4s,5.9,33.2
17:58:17,0:00:00.000274,Unknown,big_buck_bunny/big_buck_bunny_dash35.m4s,19.0,33.2
17:58:25,0:00:00.000223,Unknown,big_buck_bunny/big_buck_bunny_dash36.m4s,10.0,33.2
17:58:33,0:00:00.000127,Unknown,big_buck_bunny/big_buck_bunny_dash37.m4s,14.3,33.2
17:58:41,0:00:00.000085,Unknown,big_buck_bunny/big_buck_bunny_dash38.m4s,11.1,33.2
17:58:51,0:00:00.000281,Unknown,big_buck_bunny/big_buck_bunny_dash39.m4s,26.3,33.2
17:58:59,0:00:00.000129,Unknown,big_buck_bunny/big_buck_bunny_dash40.m4s,10.0,33.2
17:59:09,0:00:00.000220,Unknown,big_buck_bunny/big_buck_bunny_dash41.m4s,10.5,33.2
17:59:17,0:00:00.000246,Unknown,big_buck_bunny/big_buck_bunny_dash42.m4s,15.8,33.2
17:59:25,0:00:00.000084,Unknown,big_buck_bunny/big_buck_bunny_dash43.m4s,5.3,33.2
17:59:34,0:00:00.000273,Unknown,big_buck_bunny/big_buck_bunny_dash44.m4s,10.5,33.2
17:59:43,0:00:00.000056,Unknown,big_buck_bunny/big_buck_bunny_dash45.m4s,5.3,33.3
17:59:52,0:00:00.000328,Unknown,big_buck_bunny/big_buck_bunny_dash46.m4s,5.6,28.4
18:00:01,0:00:00.001414,Unknown,big_buck_bunny/big_buck_bunny_dash47.m4s,31.6,28.6
18:00:11,0:00:00.000064,Unknown,big_buck_bunny/big_buck_bunny_dash48.m4s,63.2,29.1
18:00:21,0:00:00.000072,Unknown,big_buck_bunny/big_buck_bunny_dash49.m4s,65.0,30.7
18:00:29,0:00:00.000381,Unknown,big_buck_bunny/big_buck_bunny_dash50.m4s,5.9,32.2
18:00:38,0:00:00.000114,Unknown,big_buck_bunny/big_buck_bunny_dash51.m4s,10.0,33.0
18:00:48,0:00:00.000103,Unknown,big_buck_bunny/big_buck_bunny_dash52.m4s,10.5,33.0
18:00:56,0:00:00.000939,Unknown,big_buck_bunny/big_buck_bunny_dash53.m4s,100.0,33.1
18:01:05,0:00:00.000069,Unknown,big_buck_bunny/big_buck_bunny_dash54.m4s,21.1,35.0
18:01:14,0:00:00.000086,Unknown,big_buck_bunny/big_buck_bunny_dash55.m4s,10.5,35.0
18:01:24,0:00:00.000075,Unknown,big_buck_bunny/big_buck_bunny_dash56.m4s,5.6,35.0
18:01:32,0:00:00.000062,Unknown,big_buck_bunny/big_buck_bunny_dash57.m4s,57.9,35.0
18:01:40,0:00:00.000072,Unknown,big_buck_bunny/big_buck_bunny_dash58.m4s,15.0,35.0
18:01:49,0:00:00.000225,Unknown,big_buck_bunny/big_buck_bunny_dash59.m4s,10.0,35.0
18:01:57,0:00:00.000922,Unknown,big_buck_bunny/big_buck_bunny_dash60.m4s,10.0,35.0
